ID,english,label,pred_english,conf_english
53,"We are very sad whenever news comes that so many of our soldiers are martyred. ""Why don’t we ever hear good news that our soldiers have wiped out a large number of Pakistanis? How long will our government keep letting soldiers be martyred?
Why doesn’t it make a strategy to eliminate Pakistan?""",1,0,"0.9636468887329102,0.03635313734412193"
54,"People don’t even know what the common civil code is because no draft has been prepared yet, and some brainless people are linking it to religion.",1,0,"0.9954575300216675,0.004542524926364422"
55,"These news people are making fools of us. They’re creating their own stories.
For no reason.
They should be reported.
They’re involved in pitting India against each other.
This video is quite old.
Do something about the news people’s treatment.",1,0,"0.9986547231674194,0.001345309428870678"
56,"Brother, the government has almost declared war... now it’s a face-to-face fight.",1,0,"0.9995241165161133,0.0004758626746479422"
57,"A soldier who gets martyred for the country, the government hesitates to give 5-10 lakh. What have they done to make the country safe that they get such amounts?",1,0,"0.9979628324508667,0.0020372122526168823"
58,"Hahaha, just like they did a surgical strike before.",1,0,"0.9003922343254089,0.09960776567459106"
59,"If you’re an Indian and turn out to be Pakistani, you’ll be told what we do with spies.",1,0,"0.9701340198516846,0.029866011813282967"
60,"No need to wait two days, kill the Pak army today.",1,1,"0.42577818036079407,0.5742218494415283"
61,"The country’s soldiers are dying, the central government is doing nothing.",1,0,"0.9996002316474915,0.0003997651219833642"
62,"You didn’t offer drinks to the British, that’s why... After promising to offer drinks...",1,0,"0.9114892482757568,0.08851075917482376"
63,"There are no kids left now, hold your head and cry, and find a new BJP enemy to help you.",1,1,"0.4601362943649292,0.5398637652397156"
64,"First, we need to eliminate the internal enemies, Naxalism, and if we can’t even do that, fighting externally is far-fetched, even thinking about it is wrong.",1,0,"0.6752054691314697,0.32479459047317505"
65,"I have nothing left now, only 500 and 1000 notes, what do I do, how do I eat lunch, haven’t eaten since morning, feel like abusing but no.",1,0,"0.9988232254981995,0.0011767615796998143"
66,Why the pressure to apologize for a video that shook us from within...,1,0,"0.9925899505615234,0.007409993093460798"
67,"Calm down, Maulana.",1,0,"0.995871365070343,0.004128663334995508"
68,"When people are helpless, they don’t get facilities. Even the guns are old.",1,0,"0.9985135197639465,0.0014865248231217265"
69,"If this money was spent on players before the Olympics, maybe we could have won more medals.",1,0,"0.9995817542076111,0.00041822256753221154"
70,"You must have dried up, always shooting from someone else’s shoulder. Tell them, let’s all walk together, at least in times like this, stand united instead of taunting.",1,0,"0.9992517828941345,0.0007481865468434989"
71,"It won’t happen just by saying, brother. End triple talaq.
If you support us, we’ll support you, and a temple will be built in Ayodhya.",1,0,"0.9915729761123657,0.008427011780440807"
72,"What wrong did I say, they’ve become worthy of this, bloody hypocrites. First, they should clear their stand on the attacks on soldiers.",1,0,"0.9981677532196045,0.0018321797251701355"
73,Mullah logic...,1,0,"0.9976805448532104,0.002319409977644682"
74,"What can a 56-inch chest do, our soldiers are getting martyred.",1,0,"0.9991827607154846,0.0008172628004103899"
75,"All the maulanas and Owaisis, all these mullahs are Pakistanis, send them to Pakistan, and all the traitor Muslims, send them to Pakistan too.",1,1,"0.18670080602169037,0.8132992386817932"
76,"According to Indian media reports, 13 soldiers were patrolling when BAT infiltrated and killed 2, beheading them. The question arises, which no Indian will answer, where were the other 11 cowardly soldiers hiding with their wet pants during this? 😂😂😂
Alright, let’s assume the Pak army attacked secretly, but if the 11 soldiers had fought, the heads wouldn’t have been cut off, poor souls...
Indians, answer, where did the 11 cowards run off to then? 😍😅✌💕",1,0,"0.5495562553405762,0.4504437744617462"
77,"If there’s even a slight chance, you broker anchors, please make it happen. I swear on your families, just like you broke other parties, I hope you leave no stone unturned, haha.",1,0,"0.9631603956222534,0.03683958202600479"
78,"Yes, brother, that’s why they are patriots, and we are not.",1,0,"0.9166575074195862,0.08334248512983322"
79,Shame on such a system...,1,0,"0.9969136714935303,0.003086257027462125"
80,"What’s wrong, can’t you people live in peace?",1,0,"0.9991514682769775,0.0008485087309964001"
81,Gangbang happened.,1,0,"0.9589828848838806,0.04101714491844177"
82,"She can eat whatever she wants, there’s no restriction.",1,0,"0.9993102550506592,0.0006897542043589056"
83,"Right, madam, but what to do, our government is like this, only issues strong condemnation.",1,0,"0.9993755221366882,0.0006244771066121757"
84,The 56-inch guy will only give empty threats but can’t do anything. Just issue strong condemnation.,1,0,"0.997916042804718,0.0020839739590883255"
85,"Sir, this is politics, once it sticks to someone, they don’t let go even after changing 100 parties.",1,0,"0.9987665414810181,0.0012335353530943394"
86,What wrong did I say... But yes... who should die? The one who is completely blameless.,1,0,"0.9863805174827576,0.013619542121887207"
87,"What will happen to this country, brother, you fight among yourselves, don’t think about the country, and fight over Hindu-Muslim, improve, think about the country.",1,0,"0.9881665110588074,0.011833460070192814"
88,Useless.,1,0,"0.995762288570404,0.004237782675772905"
89,"What’s the guarantee there won’t be tampering with the voting machine, votes cast elsewhere go to BJP’s account, who will guarantee this isn’t happening?",1,0,"0.9957208037376404,0.004279224667698145"
90,"Indian Muslims eat this country’s food and sing Pakistan’s praises, should we boycott you too...",1,1,"0.3581007719039917,0.6418992877006531"
91,"Give the soldiers duty in Naxalism once, do less politics, politics won’t bring them back.",1,0,"0.9220607280731201,0.07793927192687988"
92,"How long will our soldiers keep getting martyred...How long will we keep making heroes out of media games...
When will we actually launch an attack as strong as the media claims...
Keeping Pakistan in its place is not a big deal...
How long will you keep fooling the country’s people with the media?",1,0,"0.7281879186630249,0.2718121111392975"
93,"It won’t stop by saying, it’ll happen again and again, it’s not a new thing, terrorists may or may not die daily, but soldiers shouldn’t die.",1,0,"0.9992988109588623,0.0007011807174421847"
94,"Whether it’s Naxalism or terrorism, it doesn’t stop, but why Katappa killed Baahubali, spreading that is very important, brother, it’s a matter of the country.",1,1,"0.32227808237075806,0.6777219176292419"
95,"Maulana, he’s the head of Gorakhnath temple, meaning Hindu, so how can a Hindu give the azaan? Maulana, do you people recite Bajrang Bali’s Sundar Kand?",1,0,"0.9858932495117188,0.014106747694313526"
96,"Son, India doesn’t violate human rights... otherwise, you wouldn’t have the audacity to comment this...",1,0,"0.9800339937210083,0.019966011866927147"
97,People have started hating just looking at his face...,1,0,"0.9594177007675171,0.04058230295777321"
98,"There are traitors in our country, they eat here and speak for others.",1,1,"0.26074904203414917,0.7392509579658508"
99,"Now I found out, huh?",1,0,"0.9990633130073547,0.0009367021848447621"
100,"New arrangements should be made from scratch, Those who are unworthy should be thrown out of the gathering...",1,0,"0.9911309480667114,0.008869045414030552"
101,"Didn't the people making the video press feel any pity, are they just there to print news?",1,0,"0.9991648197174072,0.0008352252189069986"
102,Voting should happen again.,1,0,"0.9995121955871582,0.00048785435501486063"
103,Let's see how long these people eating ill-gotten gains can stay on strike...,1,0,"0.9922961592674255,0.007703800685703754"
104,"Who is BJP, the one that supplies bombs to terrorists?",1,0,"0.9169629216194153,0.0830371156334877"
105,"Zee News is increasing TRP by doing such nonsense... they never find any solution. They bring all these jokers to hold debates.
One is a specimen,  neither has brains nor can think, just blabbers and resorts to rudeness.",1,0,"0.9996693134307861,0.00033074375824071467"
106,"There were 5 transactions before, and there are still 5 now... what did you lose, brother?",1,0,"0.9782141447067261,0.021785864606499672"
107,"Okay, sir, this media will drive us crazy one day, just watch.",1,0,"0.9996744394302368,0.0003255534393247217"
108,"Oh, Hindus and Sikhs are all cowards, they can only talk big, make tall claims, but are cowards and timid in reality.",1,1,"0.023430079221725464,0.9765699505805969"
109,"The real divide among us Indians, you Pakistanis created it, only illiterate people.I have educated Pakistani friends too.",1,0,"0.893296480178833,0.10670354962348938"
110,"Look at this... you can't control just 18 crore, and you talk about 133 crore, beggar... shame.",1,1,"0.47295764088630676,0.5270423293113708"
111,"I can see the link... you issued a fatwa, give him 10 lakh, I'm not blind like you, you don't even have that much worth.Whether she's anyone's sister, she's a sister... in your thinking and caste, sister and wife are the same. You know this is wrong but won't admit it because deceit is in your blood.",1,0,"0.9899821877479553,0.01001785509288311"
112,"The mullahs here are part of the Pakistani lover gang, they won't say anything against Pakistan...Just keep abusing Modi...",1,0,"0.5190140008926392,0.48098599910736084"
113,"The traitor, when he saw the party sinking, abandoned it.",1,0,"0.9916070699691772,0.008392969146370888"
114,"Tell me once, I don't believe written news either, but every news is a priority for every resident... so please keep our trust like this, please.",1,0,"0.99430251121521,0.005697465036064386"
115,"Now Rajnath Singh will say, Pakistan will have to face the consequences.",1,0,"0.6713457703590393,0.3286541700363159"
116,"Hey, is Kashmir your father's property that you came to take? It was Congress's generosity that gave half the land back, now you won't get a single hair.",1,0,"0.9716302752494812,0.028369739651679993"
117,"You're still doing cow, Babri, Hindu-Muslim? We are Indian... give Pakistan an answer...",1,1,"0.4093364179134369,0.5906636118888855"
118,What a weird idiot...Did you take a course somewhere or were you born an idiot?,1,0,"0.9231166839599609,0.07688333839178085"
119,"If you had cleaned up everyone in your time, today it would be your government, our Modi ji wouldn't have had to leave Gujarat for Delhi.",1,0,"0.9596530795097351,0.04034684970974922"
120,"To understand Delhi, make friends with corrupt ministers, everything will become clear. Even the British couldn't understand Delhi.",1,0,"0.9986910223960876,0.001309000886976719"
121,"If you had killed two Pakistanis, the devotees would have posted 1000 comments.",1,0,"0.9740707874298096,0.025929203256964684"
122,"Catch the big ones too, expose those who play for themselves and personal records to increase their market value, not for the country.",1,0,"0.9625720977783203,0.03742791339755058"
123,"#RIP_Soldiers, but we heard demonetization broke the back of terrorism and Naxalism...",1,0,"0.8909521698951721,0.1090477779507637"
124,And we also heard once that we should stop writing love letters and make Pakistan understand in its own language...!! 😡😡,1,0,"0.9172242283821106,0.08277582377195358"
125,"Useless spokesperson, can't even speak, was acting as Akhilesh's stooge. Remove the Home Minister, he only knows how to talk, nothing will happen with him, neither Kashmir is being handled nor anything else.",1,0,"0.9992702603340149,0.0007296923431567848"
126,"Good, brother, I'm coming, you MC reporter, don't you know India's population?",1,0,"0.9953122138977051,0.004687745124101639"
127,"Soldiers are being killed, and we are protecting the murderer by calling him Indian!",1,0,"0.6226622462272644,0.3773376941680908"
128,"You're asking for my permission... do one thing, shove it behind you, then talk... when you're a slave to my permission, do what I say first.",1,0,"0.9400102496147156,0.0599898062646389"
129,"Jainritesh, Muslims are also human, the one you call a pig, you're from the same species... meaning human, are you a pig???",1,0,"0.8818220496177673,0.11817798018455505"
130,"Brother, abusing people like them won't do anything... those in power make so many promises before elections, and once they win, they do whatever they want. Don't vote for people like them, then they'll understand what the respect of a common man is.",1,0,"0.9990445971488953,0.0009554242133162916"
131,"No one can harm India, what is Trump?",1,0,"0.9943932294845581,0.005606802646070719"
132,"You guys have a problem everywhere... if we do bad, there's a problem, if we do good, there's a problem too.",1,0,"0.9945206642150879,0.005479276645928621"
133,"Killing Muslims is not the goal or agenda, since 1947, they've been successful in reducing the Muslim majority. By putting Jinnah forward, they separated 50 percent of India's Muslims in the name of Pakistan.",1,0,"0.850007176399231,0.14999283850193024"
134,"Hakim, you don't need abuses, you need a dose of bullets, but alas, because of our country's useless leaders, you guys are enjoying. Otherwise, we would have shown you your place again.",1,0,"0.9445161819458008,0.055483780801296234"
135,"Haha... well said, brother, and when you reach my city, give me a call, I'll come to receive you :-p, educated illiterate.",1,0,"0.7012126445770264,0.2987874150276184"
136,"Feel ashamed, you're so drunk in devotion that you forgot Monday and Friday are auspicious for Hindus too, or do you only know Friday means Jumma?",1,0,"0.9977419376373291,0.0022580719087272882"
137,You guys haven't done less damage to Kejriwal in Delhi through lies.,1,0,"0.9930142760276794,0.006985781714320183"
138,"Now your death is not right, wait for the time, Kaliya.",1,0,"0.7674393057823181,0.23256073892116547"
139,"Stealing and then acting righteous, this fits perfectly.",1,0,"0.9380204677581787,0.06197955831885338"
140,"To build a strong nation, the education system needs to be fixed, if the roots are weak, how will the tree stand?",1,0,"0.9997602105140686,0.0002398453070782125"
141,"Yes, a Nobel Prize is won just by selling tea.",1,0,"0.9991607666015625,0.0008392920135520399"
142,"They won't give it by asking, you'll have to snatch it.",1,0,"0.9301108121871948,0.06988922506570816"
143,"We won't let any Bollywood movie run in Pakistan, ban these bastards...",1,1,"0.014158269390463829,0.985841691493988"
144,"Son, they talk about surgical strikes, now everyone remembers the word surgical strike.",1,0,"0.9957857728004456,0.004214255139231682"
145,"India threw a strong condemnation bomb... Pakistan is completely shaken by it, and Nawaz Sharif got a heart attack. India said if Pakistan does this again, we will throw another strong condemnation bomb and give Pakistan a befitting reply!",1,0,"0.790267288684845,0.209732785820961"
146,"Muslims have this flaw, love the country you live in, not others, all Muslims know this, if they don't, that's wrong.",1,0,"0.8122394680976868,0.18776054680347443"
147,"Brother, when someone says terrorists have no religion, you know which religion they're talking about.",1,0,"0.997044026851654,0.0029560106340795755"
148,"Forget that, you don't have it in you to lose your identity.",1,0,"0.9924424886703491,0.007557545322924852"
149,"Keep chanting Jai Hind, Jai Hind, while they keep killing us.",1,0,"0.7884296774864197,0.21157033741474152"
150,What was given before?,1,0,"0.9995391368865967,0.0004608729504980147"
151,"Now Feku is preparing the RSS stick gang to protect the cow mother, to hell with the army.",1,0,"0.8219541907310486,0.17804577946662903"
152,And Gujarat is in your name.,1,0,"0.9676706194877625,0.03232938423752785"
153,"If it had happened, it would have been seen by now, our country's sons wouldn't be martyred daily, Jai Hind.",1,0,"0.9830085635185242,0.01699144020676613"
154,"You can do noise pollution till 11-12 PM, but can't tolerate the azaan for one minute...",1,0,"0.978919267654419,0.021080678328871727"
155,"They've come to change politics, now they'll give degrees without studying and make everyone a minister, get in line, everyone's turn will come.",1,0,"0.9489685893058777,0.05103140324354172"
156,"Indian media is considered the dirtiest in the world... brothers, trust only the army's declaration.",1,1,"0.056243862956762314,0.9437561631202698"
157,How much money did you get?,1,0,"0.9973111152648926,0.0026889420114457607"
158,"First you said you didn't get it, now you're saying you got it, what's the truth, brother?",1,0,"0.9929520487785339,0.007047976832836866"
159,"Some religions are filled with fanaticism, otherwise which religion allows beheading?",1,0,"0.9887974858283997,0.011202448047697544"
160,"I know 100 more abuses than you... read and then talk, if you know how to read.",1,0,"0.9451839923858643,0.05481605976819992"
161,"You mullahs, why are you always after Modi ji? The surgical strike was done by Modi ji, but you don't take his name.",1,0,"0.9723390340805054,0.027660971507430077"
162,"If he's Hindu, will he not worship? If you're a maulana, will you recite katha when entering your home?",1,0,"0.9782679080963135,0.021732160821557045"
163,"Soldiers are being martyred at the border, and they're worried about AAP.",1,0,"0.993631899356842,0.0063680917955935"
164,"And tell Sambit Patra, he thinks we're doing good work, that's why we're winning, he's completely wrong. We're forced to vote for BJP because there's no other party that can do anything, and BJP is taking advantage of this.",1,0,"0.9996649026870728,0.000335096352500841"
165,"All women have the legal right to speak and explain their views, women are most troubled by alcohol.",1,0,"0.805509626865387,0.19449031352996826"
166,"You're giving the date like it happened yesterday, 2117.",1,0,"0.9973077774047852,0.002692260779440403"
167,"Never, because neither your nor their sons die.",1,0,"0.9990546107292175,0.0009453478269279003"
168,"Do they trust their work or not, why are they bringing so many campaigners, now even central ministers will roam the streets instead of working?",1,0,"0.9991940855979919,0.000805932329967618"
169,"With such a situation on selected issues, who knows what fatwas you'll issue if all issues are raised.",1,0,"0.9989132881164551,0.0010867117671296"
170,But what will be the response to the brutality against the army?,1,0,"0.9987455606460571,0.0012543792836368084"
171,"The media said it, why would a maulana say it, explain to him how the azaan happens.",1,0,"0.9505879878997803,0.049412090331315994"
172,"Great, why are we telling women to wrestle, we need to end crime, not tell the victim that the one you're harassing is a wrestler.",1,0,"0.9816593527793884,0.018340662121772766"
173,"Well said, these bastards have ruined the country in the name of caste debate.",1,0,"0.514384925365448,0.4856150150299072"
174,"Haha haha... everyone in India knows this, even Nepal, Bhutan, China, America, Russia, France, and half the world knows, uncle.",1,0,"0.9929289221763611,0.0070711406879127026"
175,"Now what will you do, investigate the machine.",1,0,"0.9930853843688965,0.006914589088410139"
176,"No, it's a lie, we didn't say Pakistan cowardly did a surgical strike. You're from the cruel Shimar's tribe, you slaughter.",1,1,"0.0020298634190112352,0.9979701638221741"
177,"What's wrong with this, people are honestly following their party's values... we should all be congratulated, they weren't someone else, we all elected them.",1,0,"0.9996050000190735,0.00039501299033872783"
178,"What was meant to be made, what was made... we made a digital India for devotees...",1,0,"0.996203601360321,0.003796357661485672"
179,Now we should stop watching these hypocrites' films.,1,0,"0.9991087317466736,0.0008912230841815472"
180,There shouldn't be loud noise in the morning.,1,0,"0.9965619444847107,0.0034381106961518526"
181,"After all, a Dalit is a human...",1,0,"0.8567101955413818,0.14328984916210175"
182,"We condemn this, if Pakistan does such things again, we will condemn it strongly in words.",1,0,"0.9970830082893372,0.002916928380727768"
183,"In Pakistan, cows are slaughtered on Eid ul Azha.",1,0,"0.9976469874382019,0.002353009069338441"
184,"Kill all the terrorists, infiltrate Pakistan, enough is enough, we won't spare Pakistan now, long live Pakistan's death...",1,1,"0.43550828099250793,0.5644917488098145"
185,"This government can't run the country, throw them out, they've troubled the poor people too much, this useless government must sit in opposition this time.",1,0,"0.999756395816803,0.00024362975091207772"
186,The Pak army knows India won't do anything.,1,0,"0.8759079575538635,0.12409207969903946"
187,Lol... their true worth is exposed :D,1,0,"0.8642299175262451,0.1357700675725937"
188,The shoes are eager to hit their faces on their own.,1,0,"0.9897536039352417,0.010246372781693935"
189,"Anyone who speaks ill of India, whether Indian or Pakistani, is an enemy, that's it.",1,0,"0.9993715882301331,0.0006284923292696476"
190,"With these words, anyone can throw shoes at you.",1,0,"0.9978324770927429,0.0021675671450793743"
191,"Nowadays, why are mullahs so scared, I can't understand.",1,0,"0.9067763686180115,0.09322362393140793"
192,"India doesn't have the guts to infiltrate and kill in Pakistan, it's these Pakistanis who aren't afraid of death and infiltrate to kill.",1,1,"0.09842117875814438,0.9015787839889526"
193,"Pakistani bastards, only 18 crore, we Indians are 125 crore.Even if you kill 20 crore of us, we'll still have 100 crore left.
If we launch one missile, your entire 18 crore Pakistan will be wiped out, not even a grave will be left.",1,0,"0.9815581440925598,0.018441786989569664"
194,"Rahit ji, please make it mandatory to recruit these leaders' kids in CRPF, not a single leader will become one.",1,0,"0.9980701804161072,0.0019298034021630883"
195,"When will the answer be given, for 3 years I've been hearing about the 56-inch army, where did Modi ji's army go?",1,0,"0.9994786381721497,0.0005213738768361509"
196,"Brother, should we give a list of who the biggest terrorists in the world are?",1,0,"0.9987989664077759,0.0012010084465146065"
197,RSS has read some other scripture.,1,0,"0.9992851614952087,0.0007148231961764395"
198,"Haha, good joke, those survey people...",1,0,"0.9850751161575317,0.014924852177500725"
199,"Fake news, I saw this video three years ago.",1,0,"0.9959892630577087,0.004010765813291073"
200,"Have some patience, not 56 inches, we'll show 106 inches, let us reach the roots of 70 years of traitors like you.",1,0,"0.9984045624732971,0.0015954466070979834"
201,"Diggy Raja, your talk is just amazing.",1,0,"0.9996277093887329,0.0003722140972968191"
202,"Tariq Ali, first look at your community's actions, you're earning a big name, gaining a lot of respect, Modi doesn't need you, you must know, apply Burnol. 😀😁😂",1,0,"0.8896706104278564,0.11032944917678833"
203,Was this an election gimmick? Doesn't the army have the right to act at its discretion?,1,0,"0.9992744326591492,0.0007256343960762024"
204,"80 out of 100 are dishonest, yet my country is great, they make big claims about Digital India, go drown.",1,0,"0.9496918320655823,0.050308190286159515"
205,"Sir, is Sada always present or what, shouting loudly?",1,0,"0.9861570596694946,0.013842985033988953"
206,"I want to ask the media why they can't say once that all the politicians in the country should go to the border for one day and fully protect the nation, then they'll understand what the family of a martyred soldier goes through...It's become a daily thing, sometimes at the border, sometimes within the country, how long will this go on...",1,0,"0.9993199110031128,0.0006800791015848517"
207,"America isn't saying it, Trump is, otherwise such words against India.",1,0,"0.9963476061820984,0.003652403363958001"
208,"This time too, politicians will only express grief and condemnation, there will be debates on TV, and then the matter will get old.",1,0,"0.9984196424484253,0.001580350799486041"
209,Overthrowing Pakistan's regime has become necessary... they will never stop their antics.,1,1,"0.1258123815059662,0.8741875886917114"
210,"It's too much now.The media spent hours in the day for the confirmation of two soldiers, and in the darkness of the night, the corrupt media went to Pakistan and counted all the bodies in minutes.",1,0,"0.9962128400802612,0.003787148278206587"
211,"Brother, even their owner is from outside, haha.",1,0,"0.9065947532653809,0.09340525418519974"
212,"Asked for one thing, got a donkey's talk.",1,0,"0.9636538624763489,0.03634610399603844"
213,"They deserve this, in fact, there's another one who will set their minds straight.",1,0,"0.8349756598472595,0.16502438485622406"
214,"As much as Pakistan salutes, everyone else salutes too.",1,0,"0.9964738488197327,0.0035260962322354317"
215,"After being martyred, the body was also mutilated, cut into pieces, the Pak army did this with the help of the BAT team (a group of terrorists), they have no principles, they are animals.",1,0,"0.8037002682685852,0.1962997019290924"
216,"Sir, I can't bear to see this anymore, I'm not joking, sir, I'm a good planner, but I don't have a proper channel to approach the government, please convey my message to the government, I will make their work very easy.",1,0,"0.9998109936714172,0.00018901756266131997"
217,"Brother, things are happening in this country that make you not want to live here anymore.",1,0,"0.9987384676933289,0.0012615625746548176"
218,"A dog is more sensible, both heroes deserve an award.",1,0,"0.9924077987670898,0.007592222653329372"
219,"Thieves, put them in jail, or hand them over to the public, Modi can't do it, the money taken during elections has to be repaid.",1,0,"0.9841687679290771,0.01583116315305233"
220,"Why, brother, tell me when it will end?",1,0,"0.9989954829216003,0.0010045416420325637"
